File_Name,Center_Pixel_RGB,Closest_Color
test,test,test
socks_images/product_images/1.jpg,[33 17  0],black
socks_images/product_images/2.jpg,[40 99 31],forestgreen
socks_images/product_images/3.jpg,[117  38  51],brown
socks_images/product_images/4.jpg,[ 33  31 154],midnightblue
socks_images/product_images/5.jpg,[96 36 20],maroon
socks_images/product_images/6.jpg,[37 26 28],black
socks_images/product_images/7.jpg,[58 50 51],darkslategray
socks_images/product_images/8.jpg,[166 164 170],darkgray
socks_images/product_images/9.jpg,[136 135 155],lightslategray
socks_images/product_images/10.jpg,[169 161 172],darkgray
socks_images/product_images/11.jpg,[171 178 173],darkgray
socks_images/product_images/12.jpg,[150 155 176],darkgray
socks_images/product_images/13.jpg,[29 80 42],darkslategray
socks_images/product_images/14.jpg,[140  43  17],saddlebrown
socks_images/product_images/15.jpg,[ 48  30 143],midnightblue
socks_images/product_images/16.jpg,[176 119 134],rosybrown
socks_images/product_images/17.jpg,[86 34 22],maroon
socks_images/product_images/18.jpg,[131  43 210],blueviolet
socks_images/product_images/19.jpg,[179 182  49],yellowgreen
socks_images/product_images/20.jpg,[194 163 132],rosybrown
socks_images/product_images/21.jpg,[126 137 151],lightslategray
socks_images/product_images/22.jpg,[47 26 58],darkslategray
socks_images/product_images/23.jpg,[ 39   0 211],mediumblue
socks_images/product_images/24.jpg,[223 223 241],lavender
socks_images/product_images/25.jpg,[  1 110 255],dodgerblue
socks_images/product_images/26.jpg,[237 231 232],linen
socks_images/product_images/27.jpg,[108  10 208],darkviolet
socks_images/product_images/28.jpg,[180 196 225],lightsteelblue
socks_images/product_images/29.jpg,[122  39 221],blueviolet
socks_images/product_images/30.jpg,[241 235 236],linen
socks_images/product_images/31.jpg,[120 140 197],lightslategray
socks_images/product_images/32.jpg,[ 46  54 161],darkslateblue
socks_images/product_images/33.jpg,[61 39 27],darkslategray
socks_images/product_images/34.jpg,[ 68  36 231],royalblue
socks_images/product_images/35.jpg,[100  10 247],blueviolet
socks_images/product_images/36.jpg,[36 32 27],black
socks_images/product_images/37.jpg,[31 27 22],black
socks_images/product_images/38.jpg,[38 31 68],midnightblue
socks_images/product_images/39.jpg,[47 38 34],darkslategray
socks_images/product_images/40.jpg,[75 37 43],darkslategray
socks_images/product_images/41.jpg,[51 36 64],darkslategray
socks_images/product_images/42.jpg,[55 55 71],darkslategray
socks_images/product_images/43.jpg,[ 31   1 190],mediumblue
socks_images/product_images/44.jpg,[30 25 34],black
socks_images/product_images/45.jpg,[59 92 11],darkolivegreen
socks_images/product_images/46.jpg,[ 49  12 216],mediumblue
socks_images/product_images/47.jpg,[40 25 29],black
socks_images/product_images/48.jpg,[28 45 18],black
socks_images/product_images/49.jpg,[29 21 22],black
socks_images/product_images/50.jpg,[24 34 18],black
socks_images/product_images/51.jpg,[28 22 23],black
socks_images/product_images/52.jpg,[154 120 131],gray
socks_images/product_images/53.jpg,[44 38 39],darkslategray
socks_images/product_images/54.jpg,[77 50 23],darkolivegreen
socks_images/product_images/55.jpg,[104  39   1],maroon
socks_images/product_images/56.jpg,[116 107 103],dimgray
socks_images/product_images/57.jpg,[230 224 225],gainsboro
socks_images/product_images/58.jpg,[  0 208 251],deepskyblue
socks_images/product_images/59.jpg,[187 180 247],lightsteelblue
socks_images/product_images/60.jpg,[230 204   4],gold
socks_images/product_images/61.jpg,[195 186 182],silver
socks_images/product_images/62.jpg,[236 230 231],linen
socks_images/product_images/63.jpg,[ 45 182 244],dodgerblue
